Mod:Item:MetaData, Localized Name
UndergroundBiomes:stairs.tile.igneousCobblestone0:0, Red Granite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone0:8, Black Granite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone1:0, Rhyolite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone1:8, Andesite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone2:0, Gabbro Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone2:8, Basalt Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone3:0, Komatiite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousCobblestone3:8, Dacite Cobblestone Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick0:0, Red Granite Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick0:8, Black Granite Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick1:0, Rhyolite Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick1:8, Andesite Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick2:0, Gabbro Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick2:8, Basalt Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick3:0, Komatiite Brick Stairs
UndergroundBiomes:stairs.tile.igneousStoneBrick3:8, Dacite Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStone0:0, Gneiss Stairs
UndergroundBiomes:stairs.tile.metamorphicStone0:8, Eclogite Stairs
UndergroundBiomes:stairs.tile.metamorphicStone1:0, Marble Stairs
UndergroundBiomes:stairs.tile.metamorphicStone1:8, Quartzite Stairs
UndergroundBiomes:stairs.tile.metamorphicStone2:0, Blue Schist Stairs
UndergroundBiomes:stairs.tile.metamorphicStone2:8, Green Schist Stairs
UndergroundBiomes:stairs.tile.metamorphicStone3:0, Soapstone Stairs
UndergroundBiomes:stairs.tile.metamorphicStone3:8, Migmatite Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone0:0, Gneiss Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone0:8, Eclogite Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone1:0, Marble Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone1:8, Quartzite Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone2:0, Blue Schist Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone2:8, Green Schist Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone3:0, Soapstone Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicCobblestone3:8, Migmatite Cobblestone Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick0:0, Gneiss Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick0:8, Eclogite Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick1:0, Marble Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick1:8, Quartzite Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick2:0, Blue Schist Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick2:8, Green Schist Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick3:0, Soapstone Brick Stairs
UndergroundBiomes:stairs.tile.metamorphicStoneBrick3:8, Migmatite Brick Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone0:0, Limestone Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone0:8, Chalk Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone1:0, Shale Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone1:8, Siltstone Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone2:0, Lignite Block Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone2:8, Dolomite Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone3:0, Greywacke Stairs
UndergroundBiomes:stairs.tile.sedimentaryStone3:8, Chert Stairs
UndergroundBiomes:wall:0, Gneiss Wall
UndergroundBiomes:wall:1, Eclogite Wall
UndergroundBiomes:wall:2, Marble Wall
UndergroundBiomes:wall:3, Quartzite Wall
UndergroundBiomes:wall:4, Blue Schist Wall
UndergroundBiomes:wall:5, Green Schist Wall
UndergroundBiomes:wall:6, Soapstone Wall
UndergroundBiomes:wall:7, Migmatite Wall
UndergroundBiomes:wall:8, Gneiss Cobblestone Wall
UndergroundBiomes:wall:9, Eclogite Cobblestone Wall
UndergroundBiomes:wall:10, Marble Cobblestone Wall
UndergroundBiomes:wall:11, Quartzite Cobblestone Wall
UndergroundBiomes:wall:12, Blue Schist Cobblestone Wall
UndergroundBiomes:wall:13, Green Schist Cobblestone Wall
UndergroundBiomes:wall:14, Soapstone Cobblestone Wall
UndergroundBiomes:wall:15, Migmatite Cobblestone Wall
UndergroundBiomes:wall:16, Gneiss Brick Wall
UndergroundBiomes:wall:17, Eclogite Brick Wall
UndergroundBiomes:wall:18, Marble Brick Wall
UndergroundBiomes:wall:19, Quartzite Brick Wall
UndergroundBiomes:wall:20, Blue Schist Brick Wall
UndergroundBiomes:wall:21, Green Schist Brick Wall
UndergroundBiomes:wall:22, Soapstone Brick Wall
UndergroundBiomes:wall:23, Migmatite Brick Wall
UndergroundBiomes:wall:24, Red Granite Wall
UndergroundBiomes:wall:25, Black Granite Wall
UndergroundBiomes:wall:26, Rhyolite Wall
UndergroundBiomes:wall:27, Andesite Wall
UndergroundBiomes:wall:28, Gabbro Wall
UndergroundBiomes:wall:29, Basalt Wall
UndergroundBiomes:wall:30, Komatiite Wall
UndergroundBiomes:wall:31, Dacite Wall
UndergroundBiomes:wall:32, Red Granite Cobblestone Wall
UndergroundBiomes:wall:33, Black Granite Cobblestone Wall
UndergroundBiomes:wall:34, Rhyolite Cobblestone Wall
UndergroundBiomes:wall:35, Andesite Cobblestone Wall
UndergroundBiomes:wall:36, Gabbro Cobblestone Wall
UndergroundBiomes:wall:37, Basalt Cobblestone Wall
UndergroundBiomes:wall:38, Komatiite Cobblestone Wall
UndergroundBiomes:wall:39, Dacite Cobblestone Wall
UndergroundBiomes:wall:40, Red Granite Brick Wall
UndergroundBiomes:wall:41, Black Granite Brick Wall
UndergroundBiomes:wall:42, Rhyolite Brick Wall
UndergroundBiomes:wall:43, Andesite Brick Wall
UndergroundBiomes:wall:44, Gabbro Brick Wall
UndergroundBiomes:wall:45, Basalt Brick Wall
UndergroundBiomes:wall:46, Komatiite Brick Wall
UndergroundBiomes:wall:47, Dacite Brick Wall
UndergroundBiomes:wall:48, Limestone Wall
UndergroundBiomes:wall:49, Chalk Wall
UndergroundBiomes:wall:50, Shale Wall
UndergroundBiomes:wall:51, Siltstone Wall
UndergroundBiomes:wall:52, Lignite Block Wall
UndergroundBiomes:wall:53, Dolomite Wall
UndergroundBiomes:wall:54, Greywacke Wall
UndergroundBiomes:wall:55, Chert Wall
UndergroundBiomes:wall.tile.igneousStone:0, Red Granite Wall
UndergroundBiomes:wall.tile.igneousStone:1, Black Granite Wall
UndergroundBiomes:wall.tile.igneousStone:2, Rhyolite Wall
UndergroundBiomes:wall.tile.igneousStone:3, Andesite Wall
UndergroundBiomes:wall.tile.igneousStone:4, Gabbro Wall
UndergroundBiomes:wall.tile.igneousStone:5, Basalt Wall
UndergroundBiomes:wall.tile.igneousStone:6, Komatiite Wall
UndergroundBiomes:wall.tile.igneousStone:7, Dacite Wall
UndergroundBiomes:wall.tile.igneousCobblestone:0, Red Granite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:1, Black Granite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:2, Rhyolite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:3, Andesite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:4, Gabbro Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:5, Basalt Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:6, Komatiite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousCobblestone:7, Dacite Cobblestone Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:0, Red Granite Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:1, Black Granite Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:2, Rhyolite Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:3, Andesite Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:4, Gabbro Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:5, Basalt Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:6, Komatiite Brick Wall
UndergroundBiomes:wall.tile.igneousStoneBrick:7, Dacite Brick Wall
UndergroundBiomes:wall.tile.metamorphicStone:0, Gneiss Wall
UndergroundBiomes:wall.tile.metamorphicStone:1, Eclogite Wall
UndergroundBiomes:wall.tile.metamorphicStone:2, Marble Wall
UndergroundBiomes:wall.tile.metamorphicStone:3, Quartzite Wall
UndergroundBiomes:wall.tile.metamorphicStone:4, Blue Schist Wall
UndergroundBiomes:wall.tile.metamorphicStone:5, Green Schist Wall
UndergroundBiomes:wall.tile.metamorphicStone:6, Soapstone Wall
UndergroundBiomes:wall.tile.metamorphicStone:7, Migmatite Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:0, Gneiss Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:1, Eclogite Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:2, Marble Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:3, Quartzite Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:4, Blue Schist Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:5, Green Schist Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:6, Soapstone Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicCobblestone:7, Migmatite Cobblestone Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:0, Gneiss Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:1, Eclogite Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:2, Marble Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:3, Quartzite Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:4, Blue Schist Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:5, Green Schist Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:6, Soapstone Brick Wall
UndergroundBiomes:wall.tile.metamorphicStoneBrick:7, Migmatite Brick Wall
UndergroundBiomes:wall.tile.sedimentaryStone:0, Limestone Wall
UndergroundBiomes:wall.tile.sedimentaryStone:1, Chalk Wall
UndergroundBiomes:wall.tile.sedimentaryStone:2, Shale Wall
UndergroundBiomes:wall.tile.sedimentaryStone:3, Siltstone Wall
UndergroundBiomes:wall.tile.sedimentaryStone:4, Lignite Block Wall
UndergroundBiomes:wall.tile.sedimentaryStone:5, Dolomite Wall
UndergroundBiomes:wall.tile.sedimentaryStone:6, Greywacke Wall
UndergroundBiomes:wall.tile.sedimentaryStone:7, Chert Wall
gregtech:gt.blockmachines:1, gt.blockmachines.hull.bronze.name
gregtech:gt.blockmachines:2, gt.blockmachines.hull.bronze_bricked.name
gregtech:gt.blockmachines:3, gt.blockmachines.hull.steel.name
gregtech:gt.blockmachines:4, gt.blockmachines.hull.steel_bricked.name
gregtech:gt.blockmachines:10, gt.blockmachines.hull.tier.00.name
gregtech:gt.blockmachines:11, gt.blockmachines.hull.tier.01.name
gregtech:gt.blockmachines:12, gt.blockmachines.hull.tier.02.name
gregtech:gt.blockmachines:13, gt.blockmachines.hull.tier.03.name
gregtech:gt.blockmachines:14, gt.blockmachines.hull.tier.04.name
gregtech:gt.blockmachines:15, gt.blockmachines.hull.tier.05.name
gregtech:gt.blockmachines:16, gt.blockmachines.hull.tier.06.name
gregtech:gt.blockmachines:17, gt.blockmachines.hull.tier.07.name
gregtech:gt.blockmachines:18, gt.blockmachines.hull.tier.08.name
gregtech:gt.blockmachines:19, gt.blockmachines.hull.tier.09.name
gregtech:gt.blockmachines:20, gt.blockmachines.transformer.tier.00.name
gregtech:gt.blockmachines:21, gt.blockmachines.transformer.tier.01.name
gregtech:gt.blockmachines:22, gt.blockmachines.transformer.tier.02.name
gregtech:gt.blockmachines:23, gt.blockmachines.transformer.tier.03.name
gregtech:gt.blockmachines:24, gt.blockmachines.transformer.tier.04.name
gregtech:gt.blockmachines:25, gt.blockmachines.transformer.tier.05.name
gregtech:gt.blockmachines:26, gt.blockmachines.transformer.tier.06.name
gregtech:gt.blockmachines:27, gt.blockmachines.transformer.tier.07.name
gregtech:gt.blockmachines:28, gt.blockmachines.transformer.tier.08.name
gregtech:gt.blockmachines:30, gt.blockmachines.hatch.dynamo.tier.00.name
gregtech:gt.blockmachines:31, gt.blockmachines.hatch.dynamo.tier.01.name
gregtech:gt.blockmachines:32, gt.blockmachines.hatch.dynamo.tier.02.name
gregtech:gt.blockmachines:33, gt.blockmachines.hatch.dynamo.tier.03.name
gregtech:gt.blockmachines:34, gt.blockmachines.hatch.dynamo.tier.04.name
gregtech:gt.blockmachines:35, gt.blockmachines.hatch.dynamo.tier.05.name
gregtech:gt.blockmachines:36, gt.blockmachines.hatch.dynamo.tier.06.name
gregtech:gt.blockmachines:37, gt.blockmachines.hatch.dynamo.tier.07.name
gregtech:gt.blockmachines:38, gt.blockmachines.hatch.dynamo.tier.08.name
gregtech:gt.blockmachines:39, gt.blockmachines.hatch.dynamo.tier.09.name
gregtech:gt.blockmachines:40, gt.blockmachines.hatch.energy.tier.00.name
gregtech:gt.blockmachines:41, gt.blockmachines.hatch.energy.tier.01.name
gregtech:gt.blockmachines:42, gt.blockmachines.hatch.energy.tier.02.name
gregtech:gt.blockmachines:43, gt.blockmachines.hatch.energy.tier.03.name
gregtech:gt.blockmachines:44, gt.blockmachines.hatch.energy.tier.04.name
gregtech:gt.blockmachines:45, gt.blockmachines.hatch.energy.tier.05.name
gregtech:gt.blockmachines:46, gt.blockmachines.hatch.energy.tier.06.name
gregtech:gt.blockmachines:47, gt.blockmachines.hatch.energy.tier.07.name
gregtech:gt.blockmachines:48, gt.blockmachines.hatch.energy.tier.08.name
gregtech:gt.blockmachines:49, gt.blockmachines.hatch.energy.tier.09.name
gregtech:gt.blockmachines:50, gt.blockmachines.hatch.input.tier.00.name
gregtech:gt.blockmachines:51, gt.blockmachines.hatch.input.tier.01.name
gregtech:gt.blockmachines:52, gt.blockmachines.hatch.input.tier.02.name
gregtech:gt.blockmachines:53, gt.blockmachines.hatch.input.tier.03.name
gregtech:gt.blockmachines:54, gt.blockmachines.hatch.input.tier.04.name
gregtech:gt.blockmachines:55, gt.blockmachines.hatch.input.tier.05.name
gregtech:gt.blockmachines:56, gt.blockmachines.hatch.input.tier.06.name
gregtech:gt.blockmachines:57, gt.blockmachines.hatch.input.tier.07.name
gregtech:gt.blockmachines:58, gt.blockmachines.hatch.input.tier.08.name
gregtech:gt.blockmachines:59, gt.blockmachines.hatch.input.tier.09.name
gregtech:gt.blockmachines:60, gt.blockmachines.hatch.output.tier.00.name
gregtech:gt.blockmachines:61, gt.blockmachines.hatch.output.tier.01.name
gregtech:gt.blockmachines:62, gt.blockmachines.hatch.output.tier.02.name
gregtech:gt.blockmachines:63, gt.blockmachines.hatch.output.tier.03.name
gregtech:gt.blockmachines:64, gt.blockmachines.hatch.output.tier.04.name
gregtech:gt.blockmachines:65, gt.blockmachines.hatch.output.tier.05.name
gregtech:gt.blockmachines:66, gt.blockmachines.hatch.output.tier.06.name
gregtech:gt.blockmachines:67, gt.blockmachines.hatch.output.tier.07.name
gregtech:gt.blockmachines:68, gt.blockmachines.hatch.output.tier.08.name
gregtech:gt.blockmachines:69, gt.blockmachines.hatch.output.tier.09.name
gregtech:gt.blockmachines:70, gt.blockmachines.hatch.input_bus.tier.00.name
gregtech:gt.blockmachines:71, gt.blockmachines.hatch.input_bus.tier.01.name
gregtech:gt.blockmachines:72, gt.blockmachines.hatch.input_bus.tier.02.name
gregtech:gt.blockmachines:73, gt.blockmachines.hatch.input_bus.tier.03.name
gregtech:gt.blockmachines:74, gt.blockmachines.hatch.input_bus.tier.04.name
gregtech:gt.blockmachines:75, gt.blockmachines.hatch.input_bus.tier.05.name
gregtech:gt.blockmachines:76, gt.blockmachines.hatch.input_bus.tier.06.name
gregtech:gt.blockmachines:77, gt.blockmachines.hatch.input_bus.tier.07.name
gregtech:gt.blockmachines:78, gt.blockmachines.hatch.input_bus.tier.08.name
gregtech:gt.blockmachines:79, gt.blockmachines.hatch.input_bus.tier.09.name
gregtech:gt.blockmachines:80, gt.blockmachines.hatch.output_bus.tier.00.name
gregtech:gt.blockmachines:81, gt.blockmachines.hatch.output_bus.tier.01.name
gregtech:gt.blockmachines:82, gt.blockmachines.hatch.output_bus.tier.02.name
gregtech:gt.blockmachines:83, gt.blockmachines.hatch.output_bus.tier.03.name
gregtech:gt.blockmachines:84, gt.blockmachines.hatch.output_bus.tier.04.name
gregtech:gt.blockmachines:85, gt.blockmachines.hatch.output_bus.tier.05.name
gregtech:gt.blockmachines:86, gt.blockmachines.hatch.output_bus.tier.06.name
gregtech:gt.blockmachines:87, gt.blockmachines.hatch.output_bus.tier.07.name
gregtech:gt.blockmachines:88, gt.blockmachines.hatch.output_bus.tier.08.name
gregtech:gt.blockmachines:89, gt.blockmachines.hatch.output_bus.tier.09.name
gregtech:gt.blockmachines:90, gt.blockmachines.hatch.maintenance.name
gregtech:gt.blockmachines:91, gt.blockmachines.hatch.muffler.tier.01.name
gregtech:gt.blockmachines:92, gt.blockmachines.hatch.muffler.tier.02.name
gregtech:gt.blockmachines:93, gt.blockmachines.hatch.muffler.tier.03.name
gregtech:gt.blockmachines:94, gt.blockmachines.hatch.muffler.tier.04.name
gregtech:gt.blockmachines:95, gt.blockmachines.hatch.muffler.tier.05.name
gregtech:gt.blockmachines:96, gt.blockmachines.hatch.muffler.tier.06.name
gregtech:gt.blockmachines:97, gt.blockmachines.hatch.muffler.tier.07.name
gregtech:gt.blockmachines:98, gt.blockmachines.hatch.muffler.tier.08.name
gregtech:gt.blockmachines:99, gt.blockmachines.hatch.muffler.tier.09.name
gregtech:gt.blockmachines:100, gt.blockmachines.boiler.bronze.name
gregtech:gt.blockmachines:101, gt.blockmachines.boiler.steel.name
gregtech:gt.blockmachines:102, gt.blockmachines.boiler.lava.name
gregtech:gt.blockmachines:103, gt.blockmachines.bronzemachine.furnace.name
gregtech:gt.blockmachines:104, gt.blockmachines.steelmachine.furnace.name
gregtech:gt.blockmachines:105, gt.blockmachines.boiler.solar.name
gregtech:gt.blockmachines:106, gt.blockmachines.bronzemachine.macerator.name
gregtech:gt.blockmachines:107, gt.blockmachines.steelmachine.macerator.name
gregtech:gt.blockmachines:108, gt.blockmachines.bronzemachine.blastfurnace.name
gregtech:gt.blockmachines:109, gt.blockmachines.bronzemachine.extractor.name
gregtech:gt.blockmachines:110, gt.blockmachines.steelmachine.extractor.name
gregtech:gt.blockmachines:111, gt.blockmachines.hatch.maintenance.semiauto.name
gregtech:gt.blockmachines:112, gt.blockmachines.bronzemachine.hammer.name
gregtech:gt.blockmachines:113, gt.blockmachines.steelmachine.hammer.name
gregtech:gt.blockmachines:114, gt.blockmachines.hatch.maintenance.auto.name
gregtech:gt.blockmachines:115, gt.blockmachines.bronzemachine.compressor.name
gregtech:gt.blockmachines:116, gt.blockmachines.steelmachine.compressor.name
gregtech:gt.blockmachines:118, gt.blockmachines.bronzemachine.alloysmelter.name
gregtech:gt.blockmachines:119, gt.blockmachines.steelmachine.alloysmelter.name
gregtech:gt.blockmachines:120, gt.blockmachines.quantum.tank.tier.01.name
gregtech:gt.blockmachines:121, gt.blockmachines.quantum.tank.tier.02.name
gregtech:gt.blockmachines:122, gt.blockmachines.quantum.tank.tier.03.name
gregtech:gt.blockmachines:123, gt.blockmachines.quantum.tank.tier.04.name
gregtech:gt.blockmachines:124, gt.blockmachines.quantum.tank.tier.05.name
gregtech:gt.blockmachines:125, gt.blockmachines.quantum.chest.tier.01.name
gregtech:gt.blockmachines:126, gt.blockmachines.quantum.chest.tier.02.name
gregtech:gt.blockmachines:127, gt.blockmachines.quantum.chest.tier.03.name
gregtech:gt.blockmachines:128, gt.blockmachines.quantum.chest.tier.04.name
gregtech:gt.blockmachines:129, gt.blockmachines.quantum.chest.tier.05.name
gregtech:gt.blockmachines:130, gt.blockmachines.multimachine.brickedblastfurnace.name
gregtech:gt.blockmachines:131, gt.blockmachines.hatch.dataaccess.name
gregtech:gt.blockmachines:132, gt.blockmachines.hatch.dataaccess.adv.name
gregtech:gt.blockmachines:133, gt.blockmachines.multimachine.oildrill2.name
gregtech:gt.blockmachines:134, gt.blockmachines.multimachine.oildrill3.name
gregtech:gt.blockmachines:135, gt.blockmachines.multimachine.concretebackfiller1.name
gregtech:gt.blockmachines:136, gt.blockmachines.multimachine.concretebackfiller3.name
gregtech:gt.blockmachines:137, gt.blockmachines.hatch.output.tier.100.name
gregtech:gt.blockmachines:150, gt.blockmachines.locker.tier.00.name
gregtech:gt.blockmachines:151, gt.blockmachines.locker.tier.01.name
gregtech:gt.blockmachines:152, gt.blockmachines.locker.tier.02.name
gregtech:gt.blockmachines:153, gt.blockmachines.locker.tier.03.name
gregtech:gt.blockmachines:154, gt.blockmachines.locker.tier.04.name
gregtech:gt.blockmachines:155, gt.blockmachines.locker.tier.05.name
gregtech:gt.blockmachines:156, gt.blockmachines.locker.tier.06.name
gregtech:gt.blockmachines:157, gt.blockmachines.locker.tier.07.name
gregtech:gt.blockmachines:158, gt.blockmachines.locker.tier.08.name
gregtech:gt.blockmachines:159, gt.blockmachines.locker.tier.09.name
gregtech:gt.blockmachines:160, gt.blockmachines.batterybuffer.01.tier.00.name
gregtech:gt.blockmachines:161, gt.blockmachines.batterybuffer.01.tier.01.name
gregtech:gt.blockmachines:162, gt.blockmachines.batterybuffer.01.tier.02.name
gregtech:gt.blockmachines:163, gt.blockmachines.batterybuffer.01.tier.03.name
gregtech:gt.blockmachines:164, gt.blockmachines.batterybuffer.01.tier.04.name
gregtech:gt.blockmachines:165, gt.blockmachines.batterybuffer.01.tier.05.name
gregtech:gt.blockmachines:166, gt.blockmachines.batterybuffer.01.tier.06.name
gregtech:gt.blockmachines:167, gt.blockmachines.batterybuffer.01.tier.07.name
gregtech:gt.blockmachines:168, gt.blockmachines.batterybuffer.01.tier.08.name
gregtech:gt.blockmachines:169, gt.blockmachines.batterybuffer.01.tier.09.name
gregtech:gt.blockmachines:170, gt.blockmachines.batterybuffer.04.tier.00.name
gregtech:gt.blockmachines:171, gt.blockmachines.batterybuffer.04.tier.01.name
gregtech:gt.blockmachines:172, gt.blockmachines.batterybuffer.04.tier.02.name
gregtech:gt.blockmachines:173, gt.blockmachines.batterybuffer.04.tier.03.name
gregtech:gt.blockmachines:174, gt.blockmachines.batterybuffer.04.tier.04.name
gregtech:gt.blockmachines:175, gt.blockmachines.batterybuffer.04.tier.05.name
gregtech:gt.blockmachines:176, gt.blockmachines.batterybuffer.04.tier.06.name
gregtech:gt.blockmachines:177, gt.blockmachines.batterybuffer.04.tier.07.name
gregtech:gt.blockmachines:178, gt.blockmachines.batterybuffer.04.tier.08.name
gregtech:gt.blockmachines:179, gt.blockmachines.batterybuffer.04.tier.09.name
gregtech:gt.blockmachines:180, gt.blockmachines.batterybuffer.09.tier.00.name
gregtech:gt.blockmachines:181, gt.blockmachines.batterybuffer.09.tier.01.name
gregtech:gt.blockmachines:182, gt.blockmachines.batterybuffer.09.tier.02.name
gregtech:gt.blockmachines:183, gt.blockmachines.batterybuffer.09.tier.03.name
gregtech:gt.blockmachines:184, gt.blockmachines.batterybuffer.09.tier.04.name
gregtech:gt.blockmachines:185, gt.blockmachines.batterybuffer.09.tier.05.name
gregtech:gt.blockmachines:186, gt.blockmachines.batterybuffer.09.tier.06.name
gregtech:gt.blockmachines:187, gt.blockmachines.batterybuffer.09.tier.07.name
gregtech:gt.blockmachines:188, gt.blockmachines.batterybuffer.09.tier.08.name
gregtech:gt.blockmachines:189, gt.blockmachines.batterybuffer.09.tier.09.name
gregtech:gt.blockmachines:190, gt.blockmachines.batterybuffer.16.tier.00.name
gregtech:gt.blockmachines:191, gt.blockmachines.batterybuffer.16.tier.01.name
gregtech:gt.blockmachines:192, gt.blockmachines.batterybuffer.16.tier.02.name
gregtech:gt.blockmachines:193, gt.blockmachines.batterybuffer.16.tier.03.name
gregtech:gt.blockmachines:194, gt.blockmachines.batterybuffer.16.tier.04.name
gregtech:gt.blockmachines:195, gt.blockmachines.batterybuffer.16.tier.05.name
gregtech:gt.blockmachines:196, gt.blockmachines.batterybuffer.16.tier.06.name
gregtech:gt.blockmachines:197, gt.blockmachines.batterybuffer.16.tier.07.name
gregtech:gt.blockmachines:198, gt.blockmachines.batterybuffer.16.tier.08.name
gregtech:gt.blockmachines:199, gt.blockmachines.batterybuffer.16.tier.09.name
gregtech:gt.blockmachines:201, gt.blockmachines.basicmachine.alloysmelter.tier.01.name
gregtech:gt.blockmachines:202, gt.blockmachines.basicmachine.alloysmelter.tier.02.name
gregtech:gt.blockmachines:203, gt.blockmachines.basicmachine.alloysmelter.tier.03.name
gregtech:gt.blockmachines:204, gt.blockmachines.basicmachine.alloysmelter.tier.04.name
gregtech:gt.blockmachines:205, gt.blockmachines.basicmachine.alloysmelter.tier.05.name
gregtech:gt.blockmachines:206, gt.blockmachines.basicmachine.alloysmelter.tier.06.name
gregtech:gt.blockmachines:207, gt.blockmachines.basicmachine.alloysmelter.tier.07.name
gregtech:gt.blockmachines:208, gt.blockmachines.basicmachine.alloysmelter.tier.08.name
gregtech:gt.blockmachines:211, gt.blockmachines.basicmachine.assembler.tier.01.name
gregtech:gt.blockmachines:212, gt.blockmachines.basicmachine.assembler.tier.02.name
gregtech:gt.blockmachines:213, gt.blockmachines.basicmachine.assembler.tier.03.name
gregtech:gt.blockmachines:214, gt.blockmachines.basicmachine.assembler.tier.04.name
gregtech:gt.blockmachines:215, gt.blockmachines.basicmachine.assembler.tier.05.name
gregtech:gt.blockmachines:216, gt.blockmachines.basicmachine.assembler.tier.06.name
gregtech:gt.blockmachines:217, gt.blockmachines.basicmachine.assembler.tier.07.name
gregtech:gt.blockmachines:218, gt.blockmachines.basicmachine.assembler.tier.08.name
gregtech:gt.blockmachines:221, gt.blockmachines.basicmachine.bender.tier.01.name
gregtech:gt.blockmachines:222, gt.blockmachines.basicmachine.bender.tier.02.name
gregtech:gt.blockmachines:223, gt.blockmachines.basicmachine.bender.tier.03.name
gregtech:gt.blockmachines:224, gt.blockmachines.basicmachine.bender.tier.04.name
gregtech:gt.blockmachines:225, gt.blockmachines.basicmachine.bender.tier.05.name
gregtech:gt.blockmachines:226, gt.blockmachines.basicmachine.bender.tier.06.name
gregtech:gt.blockmachines:227, gt.blockmachines.basicmachine.bender.tier.07.name
gregtech:gt.blockmachines:228, gt.blockmachines.basicmachine.bender.tier.08.name
gregtech:gt.blockmachines:231, gt.blockmachines.basicmachine.canner.tier.01.name
gregtech:gt.blockmachines:232, gt.blockmachines.basicmachine.canner.tier.02.name
gregtech:gt.blockmachines:233, gt.blockmachines.basicmachine.canner.tier.03.name
gregtech:gt.blockmachines:234, gt.blockmachines.basicmachine.canner.tier.04.name
gregtech:gt.blockmachines:235, gt.blockmachines.basicmachine.canner.tier.05.name
gregtech:gt.blockmachines:236, gt.blockmachines.basicmachine.canner.tier.06.name
